Tweet,Location,Coordinates,Timestamp,Username,Sentiment
I'm excited for the environmental sustainability of the Tren Maya and its influence on local culture.,Bacalar,"(18.6783, -88.3926)",21/02/2023 11:52,htaylor,Positive
I'm optimistic about the cultural significance of the Tren Maya and what it means for the future.,Cancun,"(21.1619, -86.8515)",29/05/2023 08:05,fosterbonnie,Positive
I have concerns regarding the design and route of the Tren Maya and its impact on local wildlife.,Playa del Carmen,"(20.6296, -87.0739)",11/04/2023 14:14,emills,Neutral
I'm supportive of the construction process of the Tren Maya and its possible global significance.,Campeche,"(19.8454, -90.5237)",15/08/2023 19:31,murphyclayton,Positive
I wonder about the construction process of the Tren Maya and its possible global significance.,Chichen Itza,"(20.6843, -88.5678)",08/06/2023 18:51,zwest,Positive
I'm cautious about the tourism potential of the Tren Maya and what it means for the future.,Valladolid,"(20.6886, -88.2025)",27/05/2023 10:34,nchen,Negative
I'm fascinated by the economic impact of the Tren Maya and its role in Mexico's development.,Merida,"(20.9674, -89.5926)",22/04/2023 18:13,mary98,Positive
I wonder about the design and route of the Tren Maya and how it might change travel.,Bacalar,"(18.6783, -88.3926)",16/11/2023 07:28,nielsenzoe,Neutral
I'm curious about how the environmental sustainability of the Tren Maya and its influence on local culture.,Bacalar,"(18.6783, -88.3926)",21/07/2023 07:16,chandlermarcus,Positive
I'm uncertain about the cultural significance of the Tren Maya and its role in Mexico's development.,Bacalar,"(18.6783, -88.3926)",04/05/2023 13:06,jessicavargas,Neutral
I'm uncertain about the local community involvement in the Tren Maya and the opportunities it presents.,Chichen Itza,"(20.6843, -88.5678)",08/09/2023 17:13,ycoleman,Positive
I have concerns regarding the cultural significance of the Tren Maya and the opportunities it presents.,Tulum,"(20.2114, -87.4654)",07/11/2023 07:41,david91,Positive
I wonder about the design and route of the Tren Maya and how it might change travel.,Merida,"(20.9674, -89.5926)",16/06/2023 07:30,marcus42,Neutral
I'm excited for the long-term benefits of the Tren Maya and the challenges it faces.,Cancun,"(21.1619, -86.8515)",18/02/2023 03:19,mark61,Positive
I'm fascinated by the economic impact of the Tren Maya and its role in Mexico's development.,Bacalar,"(18.6783, -88.3926)",13/10/2023 12:22,perkinsbrad,Positive
I'm supportive of the environmental sustainability of the Tren Maya and its impact on local wildlife.,Playa del Carmen,"(20.6296, -87.0739)",30/06/2023 16:08,hernandezjulia,Positive
I wonder about the long-term benefits of the Tren Maya and what it means for the future.,Bacalar,"(18.6783, -88.3926)",08/05/2023 18:23,richard65,Positive
I'm curious about how the funding and investments for the Tren Maya and its effects on the region.,Merida,"(20.9674, -89.5926)",05/09/2023 12:14,deanna52,Positive
I have concerns regarding the funding and investments for the Tren Maya and its potential for change.,Chichen Itza,"(20.6843, -88.5678)",14/06/2023 04:18,zorozco,Neutral
I'm curious about how the tourism potential of the Tren Maya and its potential for change.,Tulum,"(20.2114, -87.4654)",08/10/2023 04:37,david72,Positive
I wonder about the economic impact of the Tren Maya and its impact on local wildlife.,Valladolid,"(20.6886, -88.2025)",05/03/2023 05:09,johnwerner,Neutral
I'm optimistic about the environmental sustainability of the Tren Maya and the opportunities it presents.,Playa del Carmen,"(20.6296, -87.0739)",28/05/2023 11:51,smithjames,Positive
I'm fascinated by the construction process of the Tren Maya and its role in Mexico's development.,Tulum,"(20.2114, -87.4654)",12/07/2023 17:12,jbrown,Positive
I'm supportive of the cultural significance of the Tren Maya and its possible global significance.,Chichen Itza,"(20.6843, -88.5678)",07/06/2023 05:00,brittanyduncan,Positive
I'm critical of the design and route of the Tren Maya and its effects on the region.,Merida,"(20.9674, -89.5926)",18/07/2023 00:54,riverapamela,Negative
I'm impressed by the local community involvement in the Tren Maya and its possible global significance.,Playa del Carmen,"(20.6296, -87.0739)",27/09/2023 21:10,brettsaunders,Positive
I'm critical of the funding and investments for the Tren Maya and its influence on local culture.,Valladolid,"(20.6886, -88.2025)",04/03/2023 20:10,griffinkevin,Negative
I'm doubtful about the design and route of the Tren Maya and the challenges it faces.,Campeche,"(19.8454, -90.5237)",09/06/2023 04:52,angelaruiz,Negative
I wonder about the design and route of the Tren Maya and how it might change travel.,Cancun,"(21.1619, -86.8515)",02/05/2023 10:18,amanda55,Neutral
I wonder about the design and route of the Tren Maya and its potential for change.,Bacalar,"(18.6783, -88.3926)",28/02/2023 22:58,daniel28,Neutral
I'm cautious about the environmental sustainability of the Tren Maya and its effects on the region.,Chichen Itza,"(20.6843, -88.5678)",15/11/2023 09:25,johnjackson,Negative
I'm fascinated by the long-term benefits of the Tren Maya and its potential for change.,Tulum,"(20.2114, -87.4654)",19/10/2023 22:25,crystalhoffman,Positive
I'm curious about how the long-term benefits of the Tren Maya and its impact on local wildlife.,Bacalar,"(18.6783, -88.3926)",24/03/2023 10:51,wyattleslie,Positive
I'm impressed by the economic impact of the Tren Maya and the challenges it faces.,Bacalar,"(18.6783, -88.3926)",15/08/2023 15:08,karen96,Positive
I have concerns regarding the tourism potential of the Tren Maya and how it might change travel.,Campeche,"(19.8454, -90.5237)",26/09/2023 00:17,cdavis,Neutral
I'm cautious about the local community involvement in the Tren Maya and how it might change travel.,Playa del Carmen,"(20.6296, -87.0739)",29/10/2023 18:30,claytonanne,Negative
I wonder about the local community involvement in the Tren Maya and what it means for the future.,Tulum,"(20.2114, -87.4654)",02/10/2023 04:33,merickson,Neutral
I'm impressed by the environmental sustainability of the Tren Maya and the opportunities it presents.,Playa del Carmen,"(20.6296, -87.0739)",13/04/2023 05:28,yhall,Positive
I have concerns regarding the environmental sustainability of the Tren Maya and what it means for the future.,Valladolid,"(20.6886, -88.2025)",26/10/2023 09:16,margaret26,Neutral
I'm cautious about the local community involvement in the Tren Maya and its influence on local culture.,Merida,"(20.9674, -89.5926)",05/07/2023 21:33,sabrinahaynes,Negative
I'm uncertain about the long-term benefits of the Tren Maya and the opportunities it presents.,Valladolid,"(20.6886, -88.2025)",19/10/2023 06:31,victormoore,Positive
I'm critical of the funding and investments for the Tren Maya and its possible global significance.,Cancun,"(21.1619, -86.8515)",16/11/2023 04:24,edwincarr,Neutral
I'm excited for the environmental sustainability of the Tren Maya and its impact on local wildlife.,Cancun,"(21.1619, -86.8515)",02/03/2023 22:35,williamsonkathryn,Positive
I'm uncertain about the long-term benefits of the Tren Maya and its role in Mexico's development.,Bacalar,"(18.6783, -88.3926)",27/07/2023 18:05,craig59,Positive
I'm doubtful about the design and route of the Tren Maya and the opportunities it presents.,Tulum,"(20.2114, -87.4654)",26/09/2023 11:54,yrodriguez,Neutral
I'm critical of the funding and investments for the Tren Maya and its possible global significance.,Chichen Itza,"(20.6843, -88.5678)",26/08/2023 13:44,ythompson,Neutral
I'm excited for the tourism potential of the Tren Maya and its effects on the region.,Merida,"(20.9674, -89.5926)",31/05/2023 05:44,jared74,Positive
I'm optimistic about the economic impact of the Tren Maya and its possible global significance.,Bacalar,"(18.6783, -88.3926)",20/01/2023 08:54,parrishlisa,Positive
I'm optimistic about the tourism potential of the Tren Maya and its effects on the region.,Bacalar,"(18.6783, -88.3926)",26/02/2023 17:52,matthew02,Positive
I'm fascinated by the environmental sustainability of the Tren Maya and how it might change travel.,Merida,"(20.9674, -89.5926)",17/05/2023 17:32,wolferobert,Positive
I'm supportive of the construction process of the Tren Maya and the opportunities it presents.,Chichen Itza,"(20.6843, -88.5678)",01/08/2023 19:29,crystal04,Positive
I'm impressed by the economic impact of the Tren Maya and its effects on the region.,Cancun,"(21.1619, -86.8515)",24/09/2023 17:58,nelsonelizabeth,Positive
I'm fascinated by the local community involvement in the Tren Maya and its possible global significance.,Valladolid,"(20.6886, -88.2025)",10/02/2023 21:00,david43,Positive
I'm curious about how the construction process of the Tren Maya and the challenges it faces.,Cancun,"(21.1619, -86.8515)",27/02/2023 00:39,christopherking,Positive
I'm excited for the construction process of the Tren Maya and the challenges it faces.,Campeche,"(19.8454, -90.5237)",16/07/2023 13:09,jacksonjames,Positive
I'm curious about how the funding and investments for the Tren Maya and its possible global significance.,Campeche,"(19.8454, -90.5237)",06/10/2023 13:52,carterbilly,Positive
